"","estrestpopxts.Open","estrestpopxts.High","estrestpopxts.Low","estrestpopxts.Close"
"1981 Q4",14923.3,15054.1,14923.3,15054.1
"1982 Q4",15121.7,15288.9,15121.7,15288.9
"1983 Q4",15346.2,15483.5,15346.2,15483.5
"1984 Q4",15531.5,15677.3,15531.5,15677.3
"1985 Q4",15736.7,15900.6,15736.7,15900.6
"1986 Q4",15961.5,16138.8,15961.5,16138.8
"1987 Q4",16204,16394.6,16204,16394.6
"1988 Q4",16471.8,16687.1,16471.8,16687.1
"1989 Q4",16764,16936.7,16764,16936.7
"1990 Q4",17005.6,17169.8,17005.6,17169.8
"1991 Q4",17237.4,17379,17237.4,17379
"1992 Q4",17441.3,17557.1,17441.3,17557.1
"1993 Q4",17609.6,17719.1,17609.6,17719.1
"1994 Q4",17772.1,17893.4,17772.1,17893.4
"1995 Q4",17951.6,18119.6,17951.6,18119.6
"1996 Q4",18176,18330.1,18176,18330.1
"1997 Q4",18388.7,18510,18388.7,18510
"1998 Q4",18572.4,18705.6,18572.4,18705.6
"1999 Q4",18770.5,18919.2,18770.5,18919.2
"2000 Q4",18986.7,19141,18986.7,19141
"2001 Q4",19225.2,19386.5,19225.2,19386.5
"2002 Q4",19453.4,19605.4,19453.4,19605.4
"2003 Q4",19676.6,19827.2,19676.6,19827.2
"2004 Q4",19894.1,20046,19894.1,20046
"2005 Q4",20126.6,20311.5,20126.6,20311.5
"2006 Q4",20398.1,20627.5,20398.1,20627.5
"2007 Q4",20742.8,21016.1,20742.8,21016.1
"2008 Q4",21148.9,21475.6,21148.9,21475.6
"2009 Q4",21601.7,21865.6,21601.7,21865.6
"2010 Q4",21964.1,22172.5,21964.1,22172.5
"2011 Q4",22268.8,22522.2,22268.8,22522.2
"2012 Q4",22640.9,22928,22640.9,22928
"2013 Q4",23043,23297.8,23043,23297.8
"2014 Q4",23406.2,23640.3,23406.2,23640.3
"2015 Q4",23745.6,23984.6,23745.6,23984.6
"2016 Q4",24103.4,24389.7,24103.4,24389.7
"2017 Q4",24518.4,24773.4,24518.4,24773.4
"2018 Q4",24898.6,25171.3,24898.6,25171.3
"2019 Q4",25293,25557.9,25293,25557.9
"2020 Q4",25668.7,25693.3,25668.7,25683.4
"2021 Q1",25704.3,25704.3,25704.3,25704.3
