"","awexts.Open","awexts.High","awexts.Low","awexts.Close"
"1983-11-15",345.2,345.2,345.2,345.2
"1984-11-15",353.5,374.5,353.5,374.5
"1985-11-15",377.9,395.9,377.9,395.9
"1986-11-15",404.5,426.2,404.5,426.2
"1987-11-15",429.6,449,429.6,449
"1988-11-15",458.6,483.9,458.6,483.9
"1989-11-15",491.6,515.7,491.6,515.7
"1990-11-15",523.6,555.1,523.6,555.1
"1991-11-15",562.5,578.7,561,578.7
"1992-11-15",587.2,587.5,587.2,587.2
"1993-11-15",591.7,604.7,591.7,604.7
"1994-11-15",610.5,629.9,610.5,629.9
"1995-11-15",639.2,661,639.2,661
"1996-11-15",666.1,685.9,666.1,685.9
"1997-11-15",693.4,710.5,693.4,710.5
"1998-11-15",720.7,739.6,720.7,739.6
"1999-11-15",742.1,760.9,742.1,760.9
"2000-11-15",771.3,798.4,771.3,798.4
"2001-11-15",805,843,805,843
"2002-11-15",853.1,882.6,853.1,882.6
"2003-11-15",891.7,929.8,891.7,929.8
"2004-11-15",937.1,965.8,937.1,965.8
"2005-11-15",979.5,1012.7,979.5,1012.7
"2006-11-15",1022.2,1045,1022.2,1045
"2007-11-15",1057.2,1099.4,1057.2,1099.4
"2008-11-15",1111.8,1159,1111.8,1159
"2009-11-15",1174.1,1227.9,1174.1,1227.9
"2010-11-15",1242.3,1276.3,1242.3,1276.3
"2011-11-15",1289.6,1331.1,1289.6,1331.1
"2012-11-15",1346.3,1396,1346.3,1396
"2013-11-15",1420.9,1437,1420.9,1437
"2014-11-15",1454.1,1477,1454.1,1477
"2015-11-15",1483.1,1500.5,1483.1,1500.5
"2016-11-15",1516,1533.4,1516,1533.4
"2017-11-15",1543.2,1569.6,1543.2,1569.6
"2018-11-15",1585.3,1605.5,1585.3,1605.5
"2019-11-15",1634.8,1658.4,1634.8,1658.4
"2020-11-15",1713.9,1713.9,1711.6,1711.6
"2021-05-15",1737.1,1737.1,1737.1,1737.1
