date,value,vard,vardd
09/1959,65956,title,Gross domestic product
12/1959,66537,narrow cat.,Key National Accounts Aggregates
03/1960,66873,broad cat.,Australian National Accounts: National Income, Expenditure and Product
06/1960,68720,unit,$ Millions
09/1960,68875,prices,Chain volume measures
12/1960,68739,source,ABS
03/1961,68946,dataset,5206.0
06/1961,68190,seriestype,Seasonally Adjusted
09/1961,67702,,
12/1961,68472,,
03/1962,70394,,
06/1962,71743,,
09/1962,72323,,
12/1962,73621,,
03/1963,75322,,
06/1963,74341,,
09/1963,77392,,
12/1963,79050,,
03/1964,78923,,
06/1964,80871,,
09/1964,81372,,
12/1964,83686,,
03/1965,84388,,
06/1965,85711,,
09/1965,85461,,
12/1965,85669,,
03/1966,85422,,
06/1966,86592,,
09/1966,89039,,
12/1966,89622,,
03/1967,93120,,
06/1967,92989,,
09/1967,94737,,
12/1967,95559,,
03/1968,94708,,
06/1968,98354,,
09/1968,99654,,
12/1968,103369,,
03/1969,102653,,
06/1969,104687,,
09/1969,106420,,
12/1969,108872,,
03/1970,111134,,
06/1970,113369,,
09/1970,113134,,
12/1970,113675,,
03/1971,115049,,
06/1971,115546,,
09/1971,119177,,
12/1971,118792,,
03/1972,117351,,
06/1972,119979,,
09/1972,119370,,
12/1972,120628,,
03/1973,123743,,
06/1973,123981,,
09/1973,125226,,
12/1973,128350,,
03/1974,128375,,
06/1974,125785,,
09/1974,127295,,
12/1974,127416,,
03/1975,127920,,
06/1975,131959,,
09/1975,130513,,
12/1975,128536,,
03/1976,134221,,
06/1976,134635,,
09/1976,135726,,
12/1976,136910,,
03/1977,136164,,
06/1977,138096,,
09/1977,137507,,
12/1977,137076,,
03/1978,138043,,
06/1978,139175,,
09/1978,141286,,
12/1978,142458,,
03/1979,146357,,
06/1979,144012,,
09/1979,145351,,
12/1979,148155,,
03/1980,148820,,
06/1980,149207,,
09/1980,149992,,
12/1980,152577,,
03/1981,153166,,
06/1981,155542,,
09/1981,158667,,
12/1981,158033,,
03/1982,156752,,
06/1982,158171,,
09/1982,157114,,
12/1982,154627,,
03/1983,153074,,
06/1983,152783,,
09/1983,157046,,
12/1983,159661,,
03/1984,163669,,
06/1984,165517,,
09/1984,166918,,
12/1984,168074,,
03/1985,170521,,
06/1985,174283,,
09/1985,176648,,
12/1985,176201,,
03/1986,177357,,
06/1986,177038,,
09/1986,177541,,
12/1986,180471,,
03/1987,182209,,
06/1987,185066,,
09/1987,188434,,
12/1987,192244,,
03/1988,193067,,
06/1988,193199,,
09/1988,194793,,
12/1988,197812,,
03/1989,199852,,
06/1989,204099,,
09/1989,205756,,
12/1989,205182,,
03/1990,206890,,
06/1990,207173,,
09/1990,205931,,
12/1990,207139,,
03/1991,204453,,
06/1991,204195,,
09/1991,205034,,
12/1991,205172,,
03/1992,206707,,
06/1992,208193,,
09/1992,210305,,
12/1992,214620,,
03/1993,216105,,
06/1993,217327,,
09/1993,217554,,
12/1993,221594,,
03/1994,225301,,
06/1994,228104,,
09/1994,229838,,
12/1994,232090,,
03/1995,232015,,
06/1995,232863,,
09/1995,238186,,
12/1995,238246,,
03/1996,242299,,
06/1996,244023,,
09/1996,245961,,
12/1996,248197,,
03/1997,249712,,
06/1997,257072,,
09/1997,257409,,
12/1997,261070,,
03/1998,262859,,
06/1998,265414,,
09/1998,270555,,
12/1998,274719,,
03/1999,276845,,
06/1999,277742,,
09/1999,281011,,
12/1999,285796,,
03/2000,286832,,
06/2000,289480,,
09/2000,290041,,
12/2000,288954,,
03/2001,291890,,
06/2001,294306,,
09/2001,297867,,
12/2001,301437,,
03/2002,303715,,
06/2002,308796,,
09/2002,309875,,
12/2002,312152,,
03/2003,312462,,
06/2003,313509,,
09/2003,318795,,
12/2003,324094,,
03/2004,326766,,
06/2004,328957,,
09/2004,331446,,
12/2004,334004,,
03/2005,336632,,
06/2005,338140,,
09/2005,341768,,
12/2005,344623,,
03/2006,345342,,
06/2006,345940,,
09/2006,351068,,
12/2006,355641,,
03/2007,360899,,
06/2007,363028,,
09/2007,367065,,
12/2007,368885,,
03/2008,373067,,
06/2008,373952,,
09/2008,376754,,
12/2008,375063,,
03/2009,378859,,
06/2009,381016,,
09/2009,382125,,
12/2009,384977,,
03/2010,386904,,
06/2010,388940,,
09/2010,391580,,
12/2010,395607,,
03/2011,394551,,
06/2011,399208,,
09/2011,404551,,
12/2011,409213,,
03/2012,413003,,
06/2012,416122,,
09/2012,418597,,
12/2012,420816,,
03/2013,422061,,
06/2013,423882,,
09/2013,427334,,
12/2013,430860,,
03/2014,433778,,
06/2014,436076,,
09/2014,438269,,
12/2014,439841,,
03/2015,443529,,
06/2015,444299,,
09/2015,449110,,
12/2015,451668,,
03/2016,455436,,
06/2016,458652,,
09/2016,459323,,
12/2016,464007,,
03/2017,465099,,
06/2017,468190,,
09/2017,473187,,
12/2017,475384,,
03/2018,479411,,
06/2018,483394,,
09/2018,485975,,
12/2018,486671,,
03/2019,488666,,
06/2019,491369,,
09/2019,495335,,
12/2019,497078,,
03/2020,495455,,
06/2020,460884,,
09/2020,477277,,
12/2020,492459,,
03/2021,501788,,
06/2021,505134,,
