"","currentaccount.Open","currentaccount.High","currentaccount.Low","currentaccount.Close"
"1959 Q4",-100,13,-100,13
"1960 Q4",-71,-71,-243,-178
"1961 Q4",-160,109,-160,109
"1962 Q4",28,28,-139,-50
"1963 Q4",-52,115,-62,115
"1964 Q4",51,51,-162,-111
"1965 Q4",-164,-164,-295,-204
"1966 Q4",-140,-109,-153,-109
"1967 Q4",-138,-137,-237,-195
"1968 Q4",-335,-192,-335,-192
"1969 Q4",-144,-144,-202,-172
"1970 Q4",-76,-76,-184,-184
"1971 Q4",-169,-90,-182,-182
"1972 Q4",28,230,28,230
"1973 Q4",314,314,-5,-5
"1974 Q4",-213,-213,-591,-448
"1975 Q4",-41,121,-397,-397
"1976 Q4",-336,-159,-447,-447
"1977 Q4",-729,-236,-823,-236
"1978 Q4",-846,-767,-1024,-972
"1979 Q4",-740,-235,-740,-235
"1980 Q4",-518,-483,-1216,-1173
"1981 Q4",-1487,-1398,-2102,-2102
"1982 Q4",-2273,-1344,-2273,-1344
"1983 Q4",-1694,-1205,-2106,-1205
"1984 Q4",-2010,-1860,-2884,-2744
"1985 Q4",-2251,-2251,-4052,-3375
"1986 Q4",-3641,-2797,-3700,-2797
"1987 Q4",-2832,-2236,-3028,-2236
"1988 Q4",-2370,-2370,-4033,-4022
"1989 Q4",-5014,-5014,-6862,-6034
"1990 Q4",-6204,-4265,-6204,-4842
"1991 Q4",-3950,-2769,-3950,-2769
"1992 Q4",-3113,-3113,-4778,-3151
"1993 Q4",-3102,-3075,-4573,-3075
"1994 Q4",-3075,-3075,-7892,-6128
"1995 Q4",-6775,-6047,-6775,-6057
"1996 Q4",-4657,-3350,-6222,-4540
"1997 Q4",-3499,-2542,-5378,-5237
"1998 Q4",-6782,-6020,-9711,-7235
"1999 Q4",-8378,-7225,-10269,-7225
"2000 Q4",-7660,-5101,-8288,-5101
"2001 Q4",-4187,-3663,-4818,-4818
"2002 Q4",-4620,-4620,-9716,-9716
"2003 Q4",-9353,-9353,-12543,-11544
"2004 Q4",-11557,-11557,-16789,-16789
"2005 Q4",-14023,-13149,-15848,-14190
"2006 Q4",-13126,-13126,-16740,-16740
"2007 Q4",-16216,-16216,-21585,-21585
"2008 Q4",-19430,-9082,-19430,-9082
"2009 Q4",-5579,-5579,-21361,-21361
"2010 Q4",-18038,-7196,-18038,-12330
"2011 Q4",-12187,-8925,-12187,-11919
"2012 Q4",-16016,-11601,-18715,-18715
"2013 Q4",-11652,-11345,-17776,-12304
"2014 Q4",-9311,-9311,-16778,-12733
"2015 Q4",-11517,-11517,-23510,-22595
"2016 Q4",-15412,-6154,-17417,-6154
"2017 Q4",-5879,-5879,-15930,-15930
"2018 Q4",-9672,-6799,-12540,-6799
"2019 Q4",-1270,6250,-1270,2389
"2020 Q4",9398,19749,8482,15081
"2021 Q2",18098,26347,18098,26347
