"","earningsxts.Open","earningsxts.High","earningsxts.Low","earningsxts.Close"
"1994-07-02",672.6,672.6,672.6,672.6
"1995-07-02",688.8,704.4,688.8,704.4
"1996-07-02",716.5,730.9,716.5,730.9
"1997-07-02",736.7,752.7,736.7,752.7
"1998-07-02",766.9,783.5,766.9,783.5
"1999-07-02",788.6,802.9,788.6,802.9
"2000-07-02",818.4,834.7,818.4,834.7
"2001-07-02",856.1,879.6,856.1,879.6
"2002-07-02",899.5,924.7,899.5,924.7
"2003-07-02",954.3,979.2,954.3,979.2
"2004-07-02",984,1017.2,984,1017.2
"2005-07-02",1047.1,1066,1047.1,1066
"2006-07-02",1073.6,1093.8,1073.6,1093.8
"2007-07-02",1124.1,1151,1124.1,1151
"2008-07-02",1171.5,1210.8,1171.5,1210.8
"2009-07-02",1234.9,1276.7,1234.9,1276.7
"2010-07-02",1300.3,1328.5,1300.3,1328.5
"2011-07-02",1357.9,1390.5,1357.9,1390.5
"2012-07-02",1413.1,1458,1413.1,1458
"2013-07-02",1482.5,1500.1,1482.5,1500.1
"2014-07-02",1515.8,1542.4,1515.8,1542.4
"2015-07-02",1541.5,1560.5,1541.5,1560.5
"2016-07-02",1573.3,1595.5,1573.3,1595.5
"2017-07-02",1605.6,1632.1,1605.6,1632.1
"2018-07-02",1650.6,1668.1,1650.6,1668.1
"2019-07-02",1695.1,1722.8,1695.1,1722.8
"2020-07-02",1768.9,1769.9,1768.9,1769.9
"2021-01-01",1797,1797,1797,1797
