"","employed.Open","employed.High","employed.Low","employed.Close"
"Dec 1978",1534.9,1567.1,1488.4,1567.1
"Dec 1979",1546.6,1624.6,1522.1,1624.6
"Dec 1980",1595,1685.4,1582.7,1685.4
"Dec 1981",1638.1,1687.7,1604.9,1687.7
"Dec 1982",1651,1651,1544.1,1572
"Dec 1983",1527.8,1584.1,1478,1584.1
"Dec 1984",1536.9,1586.1,1519.4,1586.1
"Dec 1985",1566.2,1647.7,1564.1,1647.7
"Dec 1986",1621.2,1683.2,1583.6,1683.2
"Dec 1987",1634.6,1713.6,1577.8,1713.6
"Dec 1988",1668,1760.6,1633.2,1760.6
"Dec 1989",1736.6,1806.5,1719.9,1806.5
"Dec 1990",1767.3,1767.3,1649.1,1735.3
"Dec 1991",1657.8,1657.8,1514,1607.5
"Dec 1992",1550.9,1589.6,1479,1589.6
"Dec 1993",1571.4,1593.1,1467.3,1593.1
"Dec 1994",1576.1,1684.5,1538.2,1684.5
"Dec 1995",1631.8,1674.9,1588,1674.9
"Dec 1996",1628,1638.6,1549.2,1638.6
"Dec 1997",1599.7,1599.7,1459.9,1596.6
"Dec 1998",1566.3,1615.3,1491.3,1615.3
"Dec 1999",1569.9,1646.9,1511.1,1646.9
"Dec 2000",1584.9,1658.9,1552,1658.9
"Dec 2001",1624.5,1674.7,1572.5,1674.7
"Dec 2002",1625.9,1723.3,1582.5,1723.3
"Dec 2003",1696.1,1772.2,1624.1,1772.2
"Dec 2004",1720,1809.6,1621.6,1809.6
"Dec 2005",1763.7,1835.8,1731,1835.8
"Dec 2006",1800.1,1908.3,1771.2,1908.3
"Dec 2007",1856.2,1966.8,1804,1966.8
"Dec 2008",1947.5,1963.2,1851.2,1963.2
"Dec 2009",1893.2,1940.8,1781.4,1940.8
"Dec 2010",1884.5,1934.3,1775.1,1934.3
"Dec 2011",1878.8,1882.8,1797.2,1882.8
"Dec 2012",1868.7,1907.8,1772,1907.8
"Dec 2013",1866.1,1866.1,1765.6,1855.1
"Dec 2014",1835.3,1891,1767.5,1891
"Dec 2015",1818.1,1939.2,1770.6,1939.2
"Dec 2016",1859.4,1898.6,1790.2,1898.6
"Dec 2017",1878.3,1961.8,1834,1961.8
"Dec 2018",1925.6,2013.9,1891.3,2013.9
"Dec 2019",1970.4,2006,1899.7,2006
"Dec 2020",1948.9,1949.4,1615.8,1901.9
"Aug 2021",1852.4,1930.5,1810.2,1810.2
