"","employed2024xts.Open","employed2024xts.High","employed2024xts.Low","employed2024xts.Close"
"Dec 1978",867.6,885,849.5,885
"Dec 1979",876.8,922.6,874.9,922.6
"Dec 1980",907.5,956.5,904.1,956.5
"Dec 1981",930.1,979.3,930.1,979.3
"Dec 1982",965.1,966.7,930.7,930.7
"Dec 1983",907.4,958.7,907.4,958.7
"Dec 1984",932.9,959.2,931.6,959.2
"Dec 1985",951.5,994.1,948.3,994.1
"Dec 1986",968.8,983.4,956.3,983.4
"Dec 1987",956,986.4,950.7,986.4
"Dec 1988",971.4,1011.7,962.9,1011.7
"Dec 1989",997.8,1031,997.8,1031
"Dec 1990",996.4,1034.9,996.4,1034.9
"Dec 1991",994.7,996.7,964,996.7
"Dec 1992",977.4,1007.1,953.1,1007.1
"Dec 1993",982.6,1019.2,961.7,1019.2
"Dec 1994",1007.9,1051.5,994.2,1051.5
"Dec 1995",1025.3,1041.5,1013.2,1040.1
"Dec 1996",1007.7,1009.9,978,1009.9
"Dec 1997",975.1,975.1,915.8,964.3
"Dec 1998",951.5,975.4,929.9,975.4
"Dec 1999",939.3,967.7,925.9,967.7
"Dec 2000",925.2,966.6,925.2,960.4
"Dec 2001",931,975.5,926.1,975.5
"Dec 2002",951.2,1002.8,944.1,1002.8
"Dec 2003",995.7,1034.5,970.5,1034.5
"Dec 2004",1004.7,1070.8,977.5,1070.8
"Dec 2005",1037.6,1102.1,1037.6,1102.1
"Dec 2006",1079.7,1148.7,1078.6,1148.7
"Dec 2007",1119.3,1179,1110.5,1179
"Dec 2008",1161.7,1192.9,1142.3,1192.9
"Dec 2009",1165.1,1204.1,1128.5,1204.1
"Dec 2010",1174.3,1209.4,1140,1209.4
"Dec 2011",1172.2,1185.6,1146.5,1184
"Dec 2012",1180.3,1209.7,1133.4,1209.7
"Dec 2013",1173.1,1176.3,1143.9,1176.3
"Dec 2014",1164.9,1216,1134.8,1216
"Dec 2015",1179.4,1244.9,1157.2,1244.9
"Dec 2016",1198.7,1234.8,1163.9,1234.8
"Dec 2017",1206.7,1274.4,1202.9,1274.4
"Dec 2018",1244.9,1298.4,1217.5,1298.4
"Dec 2019",1278.6,1298.7,1236.5,1298.7
"Dec 2020",1269.9,1274.5,1084.1,1202.3
"Aug 2021",1155.3,1224.4,1155.3,1158.7
