"","employed_ratioxts.Open","employed_ratioxts.High","employed_ratioxts.Low","employed_ratioxts.Close"
"Dec 1978",51.7,52.6,48.3,52.6
"Dec 1979",51.6,54.1,48.2,54.1
"Dec 1980",53,56.5,50.9,56.5
"Dec 1981",54.9,55.3,50.5,55.2
"Dec 1982",53.5,53.5,47.8,50.2
"Dec 1983",48.6,48.8,44.6,48.8
"Dec 1984",47.3,48.7,45.2,48.7
"Dec 1985",47.7,49.6,46.5,49.6
"Dec 1986",49.4,51.5,46.6,51.5
"Dec 1987",49.8,52.3,45.2,52.3
"Dec 1988",50,53.3,47.5,53.3
"Dec 1989",52.7,55.4,50.4,55.4
"Dec 1990",55.1,55.1,46.9,50.9
"Dec 1991",48.3,48.3,41,45.7
"Dec 1992",43,44.8,40.4,44.8
"Dec 1993",45.4,45.4,39.4,45
"Dec 1994",44.6,50.2,42.5,50.2
"Dec 1995",48.1,50.3,44.5,50.3
"Dec 1996",49.1,49.7,45.1,49.7
"Dec 1997",49.3,49.9,42.9,49.9
"Dec 1998",48.5,50,44,50
"Dec 1999",49.2,52.4,45.3,52.4
"Dec 2000",50.7,52.9,47.2,52.9
"Dec 2001",52.4,52.4,47.9,52.1
"Dec 2002",50.3,53.3,47.3,53.3
"Dec 2003",51.8,54.3,47.9,54.3
"Dec 2004",52.6,54,47.1,54
"Dec 2005",53,53.1,49,53.1
"Dec 2006",52,54.2,49,54.2
"Dec 2007",52.4,55.1,48.8,55.1
"Dec 2008",54.8,54.8,48.9,53.1
"Dec 2009",50.1,50.6,44.8,50.6
"Dec 2010",48.7,49.9,43.7,49.9
"Dec 2011",48.6,48.6,44.7,48.1
"Dec 2012",47.3,47.7,43.7,47.7
"Dec 2013",47.3,47.3,42.4,46.3
"Dec 2014",45.7,45.9,42.7,45.9
"Dec 2015",43.4,47.3,41.7,47.3
"Dec 2016",44.9,45,42.3,45
"Dec 2017",45.4,46.4,42.3,46.4
"Dec 2018",45.8,47.9,44.6,47.9
"Dec 2019",46.2,47.4,44.1,47.4
"Dec 2020",45.5,47.3,35.6,47.3
"Aug 2021",47.1,48.4,43.9,43.9
